web-scraper-order,web-scraper-start-url,name,meaning
"1553606399-3759","https://www.babynamesdirect.com/baby-names/tamil/boy/a/1","Ansh",""
"1553606380-2872","https://www.babynamesdirect.com/baby-names/tamil/boy/a/6","Avitam",""
"1553606380-2893","https://www.babynamesdirect.com/baby-names/tamil/boy/a/6","Aakarsh",""
"1553606359-2146","https://www.babynamesdirect.com/baby-names/tamil/boy/a/11","","King of Dance"
"1553606359-2053","https://www.babynamesdirect.com/baby-names/tamil/boy/a/11","Athithyan",""
"1553606389-3226","https://www.babynamesdirect.com/baby-names/tamil/boy/a/4","Aavyan",""
"1553606367-2504","https://www.babynamesdirect.com/baby-names/tamil/boy/a/9","","Snaker"
"1553606396-3678","https://www.babynamesdirect.com/baby-names/tamil/boy/a/2","","Highly Praised; Commendable; Most …"
"1553606399-3732","https://www.babynamesdirect.com/baby-names/tamil/boy/a/1","Akay",""
"1553606363-2198","https://www.babynamesdirect.com/baby-names/tamil/boy/a/10","Atharvaa",""
"1553606372-2561","https://www.babynamesdirect.com/baby-names/tamil/boy/a/8","Aadhavan",""
"1553606363-2276","https://www.babynamesdirect.com/baby-names/tamil/boy/a/10","","King; Great will; The Talent; The …"
"1553606389-3295","https://www.babynamesdirect.com/baby-names/tamil/boy/a/4","","First Ray of Rising Sun; Sunshine; …"
"1553606384-3137","https://www.babynamesdirect.com/baby-names/tamil/boy/a/5","","An Instrument Used for Guiding …"
"1553606396-3527","https://www.babynamesdirect.com/baby-names/tamil/boy/a/2","Asok",""
"1553606389-3211","https://www.babynamesdirect.com/baby-names/tamil/boy/a/4","Aaryan",""
"1553606372-2541","https://www.babynamesdirect.com/baby-names/tamil/boy/a/8","Aumkara",""
"1553606391-3358","https://www.babynamesdirect.com/baby-names/tamil/boy/a/3","Amhar",""
"1553606399-3834","https://www.babynamesdirect.com/baby-names/tamil/boy/a/1","","Faithful; The King; Priceless / …"
"1553606363-2266","https://www.babynamesdirect.com/baby-names/tamil/boy/a/10","","Lord Murugan"
"1553606396-3685","https://www.babynamesdirect.com/baby-names/tamil/boy/a/2","","Beauty; Pious; Extremely …"
"1553606372-2648","https://www.babynamesdirect.com/baby-names/tamil/boy/a/8","","A Snake in which Lord Vishnu …"
"1553606389-3266","https://www.babynamesdirect.com/baby-names/tamil/boy/a/4","Ajitha",""
"1553606376-2778","https://www.babynamesdirect.com/baby-names/tamil/boy/a/7","","Excellence"
"1553606396-3642","https://www.babynamesdirect.com/baby-names/tamil/boy/a/2","","Lord Murugan"
"1553606399-3705","https://www.babynamesdirect.com/baby-names/tamil/boy/a/1","Ami",""
"1553606359-2019","https://www.babynamesdirect.com/baby-names/tamil/boy/a/11","Aniruthan",""
"1553606396-3594","https://www.babynamesdirect.com/baby-names/tamil/boy/a/2","Ahsan",""
"1553606389-3355","https://www.babynamesdirect.com/baby-names/tamil/boy/a/4","","Intelligent; Ruler of the World"
"1553606372-2511","https://www.babynamesdirect.com/baby-names/tamil/boy/a/8","Arunraj",""
"1553606389-3246","https://www.babynamesdirect.com/baby-names/tamil/boy/a/4","Adidev",""
"1553606384-3126","https://www.babynamesdirect.com/baby-names/tamil/boy/a/5","","Always Merry and Full of Smiles"
"1553606372-2646","https://www.babynamesdirect.com/baby-names/tamil/boy/a/8","","Sun; Brilliant Like the Sun; Lord …"
"1553606372-2649","https://www.babynamesdirect.com/baby-names/tamil/boy/a/8","","God; Supreme Ruler of the …"
"1553606367-2351","https://www.babynamesdirect.com/baby-names/tamil/boy/a/9","Adhvaith",""
"1553606363-2212","https://www.babynamesdirect.com/baby-names/tamil/boy/a/10","Aadeshwar",""
"1553606380-2934","https://www.babynamesdirect.com/baby-names/tamil/boy/a/6","","Peace; Greeting; Freer; One who …"
"1553606391-3402","https://www.babynamesdirect.com/baby-names/tamil/boy/a/3","Arzit",""
"1553606380-2914","https://www.babynamesdirect.com/baby-names/tamil/boy/a/6","Abhisek",""
"1553606391-3508","https://www.babynamesdirect.com/baby-names/tamil/boy/a/3","","Skilled; Powerful"
"1553606391-3518","https://www.babynamesdirect.com/baby-names/tamil/boy/a/3","","Gift of God"
"1553606384-3023","https://www.babynamesdirect.com/baby-names/tamil/boy/a/5","Akshyi",""
"1553606355-1854","https://www.babynamesdirect.com/baby-names/tamil/boy/a/12","Anantharaj",""
"1553606396-3563","https://www.babynamesdirect.com/baby-names/tamil/boy/a/2","Aaron",""
"1553606359-2118","https://www.babynamesdirect.com/baby-names/tamil/boy/a/11","","Hindu God Name; Name of Lord …"
"1553606389-3356","https://www.babynamesdirect.com/baby-names/tamil/boy/a/4","","Young Krishna"
"1553606399-3757","https://www.babynamesdirect.com/baby-names/tamil/boy/a/1","Anoj",""
"1553606384-3151","https://www.babynamesdirect.com/baby-names/tamil/boy/a/5","","Wisdom; Lotus"
"1553606372-2599","https://www.babynamesdirect.com/baby-names/tamil/boy/a/8","","Lovable"
"1553606399-3699","https://www.babynamesdirect.com/baby-names/tamil/boy/a/1","Abi",""
"1553606355-1976","https://www.babynamesdirect.com/baby-names/tamil/boy/a/12","","God Murugan"
"1553606372-2572","https://www.babynamesdirect.com/baby-names/tamil/boy/a/8","Aasutosh",""
