web-scraper-order,web-scraper-start-url,name,meaning
"1553610180-6984","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Arul",""
"1553610180-6710","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Adikavi",""
"1553610180-7105","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Explosive, a Dynamic person"
"1553610180-7279","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","The sun, the fire"
"1553610180-7422","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","An ornament"
"1553610180-7552","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Cupid"
"1553610180-6950","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Ardhendu",""
"1553610180-7126","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Fearless"
"1553610180-6823","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Alaksya",""
"1553610180-7425","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Strong"
"1553610180-6557","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Aakar",""
"1553610180-6855","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Amitrasudan",""
"1553610180-7137","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Expression, word, name"
"1553610180-7361","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","The lord of the whole world"
"1553610180-6944","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Arati",""
"1553610180-6785","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Ajaat",""
"1553610180-7314","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Invoked, invited, called, summoned"
"1553610180-7550","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Horses by conquest gaining"
"1553610180-6820","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Alagappan",""
"1553610180-7063","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Ayutayu",""
"1553610180-6829","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Alhad",""
"1553610180-7000","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Ashis",""
"1553610180-7533","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Limitless"
"1553610180-6554","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Aagney",""
"1553610180-7559","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Soul"
"1553610180-6700","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Adhrsya",""
"1553610180-7052","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Ayudha",""
"1553610180-6631","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Abhinita",""
"1553610180-7109","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","The servant of the Almighty, the Powerful"
"1553610180-7226","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Principal, Controller"
"1553610180-6786","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Ajaatshatru",""
"1553610180-6782","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Ainesh",""
"1553610180-7459","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Found, obtained"
"1553610180-6964","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Arivuchelvan",""
"1553610180-7494","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Praised"
"1553610180-6954","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Arhant",""
"1553610180-7428","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Lord of the world"
"1553610180-6772","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Ahupathi",""
"1553610180-7077","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","First, Most important"
"1553610180-6630","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Abhineeth",""
"1553610180-7218","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Inconceivable, a name of Lord Shiva"
"1553610180-7115","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","The servant of the Mighty"
"1553610180-7276","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Destroyer of sin"
"1553610180-6989","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Arvind",""
"1553610180-6995","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Aryaka",""
"1553610180-7468","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Skillful, active"
"1553610180-6651","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Abhisri",""
"1553610180-6712","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Adiratha",""
"1553610180-7251","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","The sun"
"1553610180-7478","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Peaceful"
"1553610180-6731","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Adwaya",""
"1553610180-6555","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Aahlaadith",""
"1553610180-7017","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Atanu",""
"1553610180-7235","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Proud"
"1553610180-6985","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Arulchelvan",""
"1553610180-7275","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","King of mountains"
"1553610180-7240","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","The first God"
"1553610180-6588","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Abhayananda",""
"1553610180-7230","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Charioteer"
"1553610180-7593","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Energy of life"
"1553610180-7070","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Shining,Visible,Brilliant"
"1553610180-7170","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Gladdening, refreshing"
"1553610180-7324","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","One who has the knoweldge of eternity"
"1553610180-7209","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Teacher, another name for Drona, Asvaghosa and krpa"
"1553610180-6880","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Anarghya",""
"1553610180-7307","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Follower of prayer"
"1553610180-7375","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Immortal, Amber of the sky"
"1553610180-7475","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Assisting, helpful"
"1553610180-7591","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Long lived"
"1553610180-7342","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Excellent"
"1553610180-7112","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","The servant of the Protector"
"1553610180-6755","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Agrayana",""
"1553610180-7391","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Nectar, delight Amlan unfading, everbright"
"1553610180-6775","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Ahmad",""
"1553610180-7007","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Ashwin, Asvin",""
"1553610180-7356","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","King of beauty, handsome"
"1553610180-6590","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Abheek",""
"1553610180-7056","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Ayush",""
"1553610180-6844","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Ambuj",""
"1553610180-7253","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Augmented by glory"
"1553610180-6825","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Alamba",""
"1553610180-7015","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Asvajit",""
"1553610180-6920","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Anup, Anoop",""
"1553610180-6769","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Ahisvara",""
"1553610180-7106","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","Ever Victorious"
"1553610180-7337","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","","A Touchstone"
"1553610180-6843","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Ambarish",""
"1553610180-7014","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Asruta",""
"1553610180-6943","https://nriol.com/babynames/indian-boy-baby-names-baa.asp","Arav",""
